TF_ID	Gene_ID	Family
Solyc06g082770	Solyc06g082770.2	LBD
Solyc06g083170	Solyc06g083170.2	bHLH
Solyc06g083430	Solyc06g083430.1	Trihelix
Solyc06g083840	Solyc06g083840.2	NAC
Solyc06g083850	Solyc06g083850.2	NAC
Solyc06g083930	Solyc06g083930.1	LBD
Solyc06g083980	Solyc06g083980.1	bHLH
Solyc07g005400	Solyc07g005400.2	bHLH
Solyc07g005650	Solyc07g005650.2	WRKY
Solyc07g006840	Solyc07g006840.1	NAC
Solyc07g008180	Solyc07g008180.2	YABBY
Solyc07g018010	Solyc07g018010.2	bHLH
Solyc07g020710	Solyc07g020710.2	CPP
Solyc07g021550	Solyc07g021550.2	HRT-like
Solyc07g038160	Solyc07g038160.2	GATA
Solyc07g039570	Solyc07g039570.2	bHLH
Solyc07g040680	Solyc07g040680.2	HSF
Solyc07g043260	Solyc07g043260.2	FAR1
Solyc07g043270	Solyc07g043270.2	FAR1
Solyc07g043330	Solyc07g043330.1	GRAS
Solyc07g043580	Solyc07g043580.2	bHLH
Solyc07g045030	Solyc07g045030.2	NAC
Solyc07g045520	Solyc07g045520.2	FAR1
Solyc07g045550	Solyc07g045550.1	SAP
Solyc07g045560	Solyc07g045560.1	SAP
Solyc07g047950	Solyc07g047950.1	GRAS
Solyc07g047960	Solyc07g047960.2	WRKY
Solyc07g051840	Solyc07g051840.2	WRKY
Solyc07g052670	Solyc07g052670.2	bHLH
Solyc07g052760	Solyc07g052760.1	GeBP
Solyc07g052830	Solyc07g052830.2	GeBP
Solyc07g052900	Solyc07g052900.1	GeBP
Solyc07g052930	Solyc07g052930.2	bHLH
Solyc07g052960	Solyc07g052960.1	GRAS
Solyc07g053290	Solyc07g053290.2	bHLH
Solyc07g053410	Solyc07g053410.2	TCP
Solyc07g053450	Solyc07g053450.2	bZIP
Solyc07g053590	Solyc07g053590.2	NAC
Solyc07g053680	Solyc07g053680.1	NAC
Solyc07g053810	Solyc07g053810.2	SBP
Solyc07g055100	Solyc07g055100.2	Trihelix
Solyc07g055280	Solyc07g055280.2	WRKY
Solyc07g055710	Solyc07g055710.2	HSF
Solyc07g056280	Solyc07g056280.2	WRKY
Solyc07g062050	Solyc07g062050.2	STAT
Solyc07g062200	Solyc07g062200.1	bHLH
Solyc07g062240	Solyc07g062240.1	NAC
Solyc07g062260	Solyc07g062260.2	BES1
Solyc07g062680	Solyc07g062680.1	TCP
Solyc07g062710	Solyc07g062710.2	bZIP
Solyc07g062840	Solyc07g062840.2	NAC
Solyc07g062980	Solyc07g062980.2	SBP
Solyc07g063410	Solyc07g063410.2	NAC
Solyc07g063420	Solyc07g063420.2	NAC
Solyc07g063670	Solyc07g063670.2	NZZ/SPL
Solyc07g063830	Solyc07g063830.2	bHLH
Solyc07g063840	Solyc07g063840.1	GeBP
Solyc07g063940	Solyc07g063940.1	GRAS
Solyc07g064000	Solyc07g064000.1	GeBP
Solyc07g064040	Solyc07g064040.2	bHLH
Solyc07g065260	Solyc07g065260.2	WRKY
Solyc07g065270	Solyc07g065270.1	GRAS
Solyc07g065500	Solyc07g065500.1	NF-YB
Solyc07g065570	Solyc07g065570.1	NF-YB
Solyc07g065580	Solyc07g065580.1	NF-YB
Solyc07g066220	Solyc07g066220.2	WRKY
Solyc07g066250	Solyc07g066250.1	GRAS
Solyc07g066330	Solyc07g066330.2	NAC
Solyc08g005050	Solyc08g005050.2	bHLH
Solyc08g005170	Solyc08g005170.2	HSF
Solyc08g005290	Solyc08g005290.2	bZIP
Solyc08g005780	Solyc08g005780.2	BES1
Solyc08g005900	Solyc08g005900.2	Trihelix
Solyc08g006020	Solyc08g006020.2	NAC
Solyc08g006110	Solyc08g006110.2	bZIP
Solyc08g006320	Solyc08g006320.2	WRKY
Solyc08g007020	Solyc08g007020.1	NAC
Solyc08g007170	Solyc08g007170.1	Trihelix
Solyc08g007190	Solyc08g007190.2	GATA
Solyc08g007960	Solyc08g007960.1	NF-YC
Solyc08g008280	Solyc08g008280.2	WRKY
Solyc08g008410	Solyc08g008410.2	Nin-like
Solyc08g008500	Solyc08g008500.2	Dof
Solyc08g008600	Solyc08g008600.2	bHLH
Solyc08g008660	Solyc08g008660.2	NAC
Solyc08g013900	Solyc08g013900.2	Nin-like
Solyc08g014030	Solyc08g014030.1	GRAS
Solyc08g022080	Solyc08g022080.2	bZIP
Solyc08g028850	Solyc08g028850.1	NAC
Solyc08g048370	Solyc08g048370.2	TCP
Solyc08g048390	Solyc08g048390.1	TCP
Solyc08g060840	Solyc08g060840.1	FAR1
Solyc08g061130	Solyc08g061130.2	bZIP
Solyc08g062200	Solyc08g062200.1	Nin-like
Solyc08g062210	Solyc08g062210.2	NF-YA
Solyc08g062490	Solyc08g062490.2	WRKY
Solyc08g062780	Solyc08g062780.1	bHLH
Solyc08g062960	Solyc08g062960.2	HSF
Solyc08g065130	Solyc08g065130.1	LBD
Solyc08g066510	Solyc08g066510.2	GATA
Solyc08g067150	Solyc08g067150.2	CPP
Solyc08g067340	Solyc08g067340.2	WRKY
Solyc08g067360	Solyc08g067360.2	WRKY
Solyc08g068380	Solyc08g068380.2	NAC
Solyc08g069160	Solyc08g069160.2	Trihelix
Solyc08g074300	Solyc08g074300.2	NAC
Solyc08g074860	Solyc08g074860.1	bZIP
Solyc08g075090	Solyc08g075090.2	bHLH
Solyc08g075110	Solyc08g075110.1	bHLH
Solyc08g076100	Solyc08g076100.2	bZIP
Solyc08g076230	Solyc08g076230.1	BBR-BPC
Solyc08g076330	Solyc08g076330.1	FAR1
Solyc08g076590	Solyc08g076590.2	HSF
Solyc08g076820	Solyc08g076820.2	bHLH
Solyc08g076930	Solyc08g076930.1	bHLH
Solyc08g077110	Solyc08g077110.2	NAC
Solyc08g077450	Solyc08g077450.2	SRS
Solyc08g077960	Solyc08g077960.2	GATA
Solyc08g078800	Solyc08g078800.1	GRAS
Solyc08g079100	Solyc08g079100.2	YABBY
Solyc08g079120	Solyc08g079120.1	NAC
Solyc08g080150	Solyc08g080150.1	TCP
Solyc08g080400	Solyc08g080400.1	GRAS
Solyc08g080540	Solyc08g080540.2	HSF
Solyc08g081140	Solyc08g081140.2	bHLH
Solyc08g081610	Solyc08g081610.2	WRKY
Solyc08g081630	Solyc08g081630.1	WRKY
Solyc08g082110	Solyc08g082110.2	WRKY
Solyc08g082750	Solyc08g082750.2	Nin-like
Solyc08g082910	Solyc08g082910.1	Dof
Solyc08g083170	Solyc08g083170.1	bHLH
Solyc09g005070	Solyc09g005070.1	bHLH
Solyc09g005560	Solyc09g005560.2	Trihelix
Solyc09g007290	Solyc09g007290.2	NF-YB
Solyc09g007500	Solyc09g007500.2	S1Fa-like
Solyc09g008030	Solyc09g008030.1	TCP
Solyc09g008850	Solyc09g008850.2	Trihelix
Solyc09g009100	Solyc09g009100.2	HSF
Solyc09g009250	Solyc09g009250.2	Trihelix
Solyc09g009490	Solyc09g009490.2	bZIP
Solyc09g009760	Solyc09g009760.1	bZIP
Solyc09g010160	Solyc09g010160.1	NAC
Solyc09g010490	Solyc09g010490.1	LBD
Solyc09g010670	Solyc09g010670.2	E2F/DP
Solyc09g010680	Solyc09g010680.2	Dof
Solyc09g010920	Solyc09g010920.1	GRAS
Solyc09g010960	Solyc09g010960.2	WRKY
Solyc09g014690	Solyc09g014690.1	LBD
Solyc09g014700	Solyc09g014700.1	LBD
Solyc09g014990	Solyc09g014990.2	WRKY
Solyc09g015770	Solyc09g015770.2	WRKY
Solyc09g018130	Solyc09g018130.1	bHLH
Solyc09g018150	Solyc09g018150.1	bHLH
Solyc09g018460	Solyc09g018460.1	GRAS
Solyc09g025310	Solyc09g025310.2	NAC
Solyc09g057710	Solyc09g057710.2	bHLH
Solyc09g057870	Solyc09g057870.2	FAR1
Solyc09g057880	Solyc09g057880.2	FAR1
Solyc09g059520	Solyc09g059520.2	HSF
Solyc09g063010	Solyc09g063010.2	bHLH
Solyc09g064920	Solyc09g064920.2	bHLH
Solyc09g065100	Solyc09g065100.1	bHLH
Solyc09g065660	Solyc09g065660.2	HSF
Solyc09g065820	Solyc09g065820.2	bHLH
Solyc09g066010	Solyc09g066010.2	WRKY
Solyc09g066260	Solyc09g066260.2	LBD
Solyc09g066270	Solyc09g066270.2	LBD
Solyc09g066450	Solyc09g066450.1	GRAS
Solyc09g074760	Solyc09g074760.1	NF-YB
Solyc09g074810	Solyc09g074810.2	bHLH
Solyc09g075610	Solyc09g075610.2	GATA
Solyc09g075640	Solyc09g075640.2	FAR1
Solyc09g082500	Solyc09g082500.2	CPP
Solyc09g082670	Solyc09g082670.2	HSF
Solyc09g083220	Solyc09g083220.2	bHLH
Solyc09g083360	Solyc09g083360.2	bHLH
Solyc09g089550	Solyc09g089550.2	ZF-HD
Solyc09g089870	Solyc09g089870.2	bHLH
Solyc09g090830	Solyc09g090830.2	GRAS
Solyc09g091250	Solyc09g091250.2	GATA
Solyc09g091760	Solyc09g091760.1	bHLH
Solyc09g097870	Solyc09g097870.2	bHLH
Solyc09g098110	Solyc09g098110.2	bHLH
Solyc10g005010	Solyc10g005010.2	NAC
Solyc10g005680	Solyc10g005680.1	WRKY
Solyc10g006510	Solyc10g006510.2	bHLH
Solyc10g006640	Solyc10g006640.2	bHLH
Solyc10g006880	Solyc10g006880.2	NAC
Solyc10g007970	Solyc10g007970.1	WRKY
Solyc10g008250	Solyc10g008250.1	bHLH
Solyc10g008260	Solyc10g008260.1	bHLH
Solyc10g008270	Solyc10g008270.2	bHLH
Solyc10g008780	Solyc10g008780.1	TCP
Solyc10g008880	Solyc10g008880.2	VOZ
Solyc10g009080	Solyc10g009080.2	SBP
Solyc10g009270	Solyc10g009270.2	bHLH
Solyc10g009290	Solyc10g009290.1	bHLH
Solyc10g009360	Solyc10g009360.2	Dof
Solyc10g009440	Solyc10g009440.2	NF-YB
Solyc10g009550	Solyc10g009550.2	WRKY
Solyc10g011910	Solyc10g011910.2	WRKY
Solyc10g018510	Solyc10g018510.1	bHLH
Solyc10g018560	Solyc10g018560.1	GATA
Solyc10g018710	Solyc10g018710.1	TCP
Solyc10g018780	Solyc10g018780.1	SBP
Solyc10g047060	Solyc10g047060.1	NAC
Solyc10g047640	Solyc10g047640.1	GATA
Solyc10g049720	Solyc10g049720.1	bHLH
Solyc10g049780	Solyc10g049780.1	bHLH
Solyc10g050210	Solyc10g050210.1	bZIP
Solyc10g054010	Solyc10g054010.1	bZIP
Solyc10g054070	Solyc10g054070.1	SRS
Solyc10g055550	Solyc10g055550.1	bZIP
Solyc10g055760	Solyc10g055760.1	NAC
Solyc10g074680	Solyc10g074680.1	GRAS
Solyc10g076390	Solyc10g076390.1	BES1
Solyc10g076920	Solyc10g076920.1	bZIP
Solyc10g078290	Solyc10g078290.1	bZIP
Solyc10g078380	Solyc10g078380.1	bHLH
Solyc10g078430	Solyc10g078430.1	E2F/DP
Solyc10g078670	Solyc10g078670.1	bZIP
Solyc10g078700	Solyc10g078700.1	SBP
Solyc10g079050	Solyc10g079050.1	bHLH
Solyc10g079070	Solyc10g079070.1	bHLH
Solyc10g079150	Solyc10g079150.1	NF-YA
Solyc10g079220	Solyc10g079220.2	NAC
Solyc10g079380	Solyc10g079380.1	HSF
Solyc10g079650	Solyc10g079650.1	bHLH
Solyc10g079660	Solyc10g079660.1	bHLH
Solyc10g079680	Solyc10g079680.1	bHLH
Solyc10g080410	Solyc10g080410.1	bZIP
Solyc10g080770	Solyc10g080770.1	bZIP
Solyc10g081350	Solyc10g081350.1	bZIP
Solyc10g081840	Solyc10g081840.1	NF-YA
Solyc10g083450	Solyc10g083450.1	NAC
Solyc10g084220	Solyc10g084220.1	FAR1
Solyc10g084380	Solyc10g084380.1	WRKY
Solyc10g086370	Solyc10g086370.1	GRAS
Solyc10g086380	Solyc10g086380.1	GRAS
Solyc10g086440	Solyc10g086440.1	Dof
Solyc10g086530	Solyc10g086530.1	GRAS
Solyc11g005380	Solyc11g005380.1	Trihelix
Solyc11g005610	Solyc11g005610.1	GRAS
Solyc11g005780	Solyc11g005780.1	bHLH
Solyc11g005920	Solyc11g005920.1	NAC
Solyc11g008000	Solyc11g008000.1	NAC
Solyc11g008010	Solyc11g008010.1	NAC
Solyc11g008830	Solyc11g008830.1	LBD
Solyc11g010340	Solyc11g010340.1	bHLH
Solyc11g010940	Solyc11g010940.1	Dof
Solyc11g011260	Solyc11g011260.1	GRAS
Solyc11g012510	Solyc11g012510.1	GRAS
Solyc11g012720	Solyc11g012720.1	Trihelix
Solyc11g012750	Solyc11g012750.1	NF-YB
Solyc11g013150	Solyc11g013150.1	GRAS
Solyc11g016910	Solyc11g016910.1	NF-YC
Solyc11g016920	Solyc11g016920.1	NF-YC
Solyc11g017100	Solyc11g017100.1	GRAS
Solyc11g017210	Solyc11g017210.1	FAR1
Solyc11g017470	Solyc11g017470.1	NAC
Solyc11g018660	Solyc11g018660.1	NAC
Solyc11g020670	Solyc11g020670.1	TCP
Solyc11g020950	Solyc11g020950.1	bZIP
Solyc11g022480	Solyc11g022480.1	NAC
Solyc11g044560	Solyc11g044560.1	bZIP
Solyc11g044750	Solyc11g044750.1	Whirly
Solyc11g045350	Solyc11g045350.1	Nin-like
Solyc11g045530	Solyc11g045530.1	LBD
Solyc11g045640	Solyc11g045640.1	TCP
Solyc11g051000	Solyc11g051000.1	FAR1
Solyc11g056650	Solyc11g056650.1	bHLH
Solyc11g064800	Solyc11g064800.1	SRS
Solyc11g064950	Solyc11g064950.1	bZIP
Solyc11g064990	Solyc11g064990.1	HSF
Solyc11g065540	Solyc11g065540.1	NAC
Solyc11g065700	Solyc11g065700.1	NF-YA
Solyc11g066050	Solyc11g066050.1	Dof
Solyc11g068370	Solyc11g068370.1	bZIP
Solyc11g068480	Solyc11g068480.1	NF-YB
Solyc11g068620	Solyc11g068620.1	NAC
Solyc11g068750	Solyc11g068750.1	NAC
Solyc11g068800	Solyc11g068800.1	E2F/DP
Solyc11g069510	Solyc11g069510.1	GATA
Solyc11g071810	Solyc11g071810.1	YABBY
Solyc11g072150	Solyc11g072150.1	NF-YC
Solyc11g072470	Solyc11g072470.1	LBD
Solyc11g072500	Solyc11g072500.1	Dof
Solyc12g005340	Solyc12g005340.1	GRAS
Solyc12g006120	Solyc12g006120.1	NF-YB
Solyc12g006170	Solyc12g006170.1	WRKY
Solyc12g007070	Solyc12g007070.1	HSF
Solyc12g007180	Solyc12g007180.1	CPP
Solyc12g008830	Solyc12g008830.1	GATA
Solyc12g009050	Solyc12g009050.1	NF-YA
Solyc12g009580	Solyc12g009580.1	YABBY
Solyc12g010170	Solyc12g010170.1	bHLH
Solyc12g010800	Solyc12g010800.1	bZIP
Solyc12g010810	Solyc12g010810.1	LBD
Solyc12g010890	Solyc12g010890.1	Trihelix
Solyc12g011190	Solyc12g011190.1	Nin-like
Solyc12g011200	Solyc12g011200.1	WRKY
Solyc12g013620	Solyc12g013620.1	NAC
Solyc12g014140	Solyc12g014140.1	TCP
Solyc12g014610	Solyc12g014610.1	WRKY
Solyc12g017400	Solyc12g017400.1	NAC
Solyc12g027650	Solyc12g027650.1	NF-YB
Solyc12g035520	Solyc12g035520.1	CAMTA
Solyc12g036430	Solyc12g036430.1	bHLH
Solyc12g036470	Solyc12g036470.1	bHLH
Solyc12g036480	Solyc12g036480.1	NAC
Solyc12g038520	Solyc12g038520.1	SBP
Solyc12g042010	Solyc12g042010.1	bHLH
Solyc12g042590	Solyc12g042590.1	WRKY
Solyc12g043090	Solyc12g043090.1	Trihelix
Solyc12g049320	Solyc12g049320.1	GRAS
Solyc12g056510	Solyc12g056510.1	Trihelix
Solyc12g056750	Solyc12g056750.1	WRKY
Solyc12g056790	Solyc12g056790.1	NAC
Solyc12g056860	Solyc12g056860.1	bZIP
Solyc12g077540	Solyc12g077540.1	Trihelix
Solyc12g087850	Solyc12g087850.1	bHLH
Solyc12g088130	Solyc12g088130.1	bHLH
Solyc12g088790	Solyc12g088790.1	bHLH
Solyc12g089040	Solyc12g089040.1	BES1
Solyc12g096350	Solyc12g096350.1	WRKY
Solyc12g098520	Solyc12g098520.1	HSF
Solyc12g098620	Solyc12g098620.1	bHLH
Solyc12g099220	Solyc12g099220.1	GRAS
Solyc12g099340	Solyc12g099340.1	CAMTA
Solyc12g099370	Solyc12g099370.1	GATA
Solyc12g099900	Solyc12g099900.1	GRAS
Solyc12g100040	Solyc12g100040.1	Trihelix
Solyc12g100140	Solyc12g100140.1	bHLH
Solyc12g100150	Solyc12g100150.1	LBD
Solyc00g196060	Solyc00g196060.2	ARF
Solyc01g096070	Solyc01g096070.2	ARF
Solyc01g103050	Solyc01g103050.2	ARF
Solyc02g037530	Solyc02g037530.2	ARF
Solyc02g077560	Solyc02g077560.2	ARF
Solyc03g031970	Solyc03g031970.2	ARF
Solyc03g118290	Solyc03g118290.2	ARF
Solyc04g081240	Solyc04g081240.2	ARF
Solyc05g047460	Solyc05g047460.2	ARF
Solyc05g056040	Solyc05g056040.2	ARF
Solyc06g075150	Solyc06g075150.2	ARF
Solyc07g016180	Solyc07g016180.2	ARF
Solyc07g042260	Solyc07g042260.2	ARF
Solyc07g043620	Solyc07g043620.2	ARF
Solyc08g008380	Solyc08g008380.2	ARF
Solyc08g082630	Solyc08g082630.2	ARF
Solyc09g007810	Solyc09g007810.2	ARF
Solyc10g086130	Solyc10g086130.1	ARF
Solyc11g013480	Solyc11g013480.1	ARF
Solyc11g069190	Solyc11g069190.1	ARF
Solyc11g069500	Solyc11g069500.1	ARF
Solyc12g042070	Solyc12g042070.1	ARF
Solyc00g011550	Solyc00g011550.1	B3
Solyc00g011660	Solyc00g011660.1	B3
Solyc00g057280	Solyc00g057280.1	B3
Solyc01g015210	Solyc01g015210.1	B3
Solyc01g060370	Solyc01g060370.1	B3
Solyc01g079560	Solyc01g079560.2	B3
Solyc01g081400	Solyc01g081400.2	B3
Solyc01g095880	Solyc01g095880.1	B3
Solyc01g096790	Solyc01g096790.2	B3
Solyc01g106230	Solyc01g106230.2	B3
Solyc01g106250	Solyc01g106250.2	B3
Solyc01g108120	Solyc01g108120.2	B3
Solyc01g108130	Solyc01g108130.2	B3
Solyc01g108140	Solyc01g108140.2	B3
Solyc01g108930	Solyc01g108930.2	B3
Solyc01g108940	Solyc01g108940.1	B3
Solyc01g108950	Solyc01g108950.1	B3
Solyc02g021260	Solyc02g021260.1	B3
Solyc02g026080	Solyc02g026080.1	B3
Solyc02g032070	Solyc02g032070.1	B3
Solyc02g055370	Solyc02g055370.2	B3
Solyc02g065310	Solyc02g065310.1	B3
Solyc02g065340	Solyc02g065340.1	B3
Solyc02g065350	Solyc02g065350.2	B3
Solyc02g079020	Solyc02g079020.2	B3
Solyc02g081780	Solyc02g081780.1	B3
Solyc02g090170	Solyc02g090170.2	B3
Solyc02g090710	Solyc02g090710.2	B3
Solyc02g094460	Solyc02g094460.1	B3
Solyc03g007140	Solyc03g007140.2	B3
Solyc03g042500	Solyc03g042500.1	B3
Solyc03g042510	Solyc03g042510.1	B3
Solyc03g043580	Solyc03g043580.1	B3
Solyc03g044110	Solyc03g044110.1	B3
Solyc03g111410	Solyc03g111410.2	B3
Solyc03g111500	Solyc03g111500.2	B3
Solyc04g015500	Solyc04g015500.2	B3
Solyc04g064830	Solyc04g064830.2	B3
Solyc04g079130	Solyc04g079130.2	B3
Solyc04g079590	Solyc04g079590.2	B3
Solyc05g017740	Solyc05g017740.1	B3
Solyc05g041100	Solyc05g041100.1	B3
Solyc06g007530	Solyc06g007530.2	B3
Solyc06g034140	Solyc06g034140.1	B3
Solyc06g073980	Solyc06g073980.2	B3
Solyc06g074160	Solyc06g074160.1	B3
Solyc06g082520	Solyc06g082520.2	B3
Solyc06g083590	Solyc06g083590.2	B3
Solyc06g083600	Solyc06g083600.1	B3
Solyc07g017470	Solyc07g017470.1	B3
Solyc07g054630	Solyc07g054630.2	B3
Solyc08g006190	Solyc08g006190.1	B3
Solyc08g006200	Solyc08g006200.1	B3
Solyc08g006210	Solyc08g006210.1	B3
Solyc08g006220	Solyc08g006220.2	B3
Solyc08g006230	Solyc08g006230.2	B3
Solyc08g006240	Solyc08g006240.1	B3
Solyc08g006260	Solyc08g006260.1	B3
Solyc08g006270	Solyc08g006270.1	B3
Solyc08g006280	Solyc08g006280.1	B3
Solyc08g006490	Solyc08g006490.1	B3
Solyc08g013690	Solyc08g013690.1	B3
Solyc08g013700	Solyc08g013700.1	B3
Solyc08g029090	Solyc08g029090.2	B3
Solyc08g068540	Solyc08g068540.2	B3
Solyc08g083400	Solyc08g083400.2	B3
Solyc09g010230	Solyc09g010230.1	B3
Solyc10g053890	Solyc10g053890.1	B3
Solyc10g075030	Solyc10g075030.1	B3
Solyc10g083210	Solyc10g083210.1	B3
Solyc11g045450	Solyc11g045450.1	B3
Solyc12g007300	Solyc12g007300.1	B3
Solyc12g098460	Solyc12g098460.1	B3
Solyc01g008890	Solyc01g008890.2	AP2
Solyc01g096860	Solyc01g096860.1	AP2
Solyc02g064960	Solyc02g064960.2	AP2
Solyc02g092050	Solyc02g092050.2	AP2
Solyc02g093150	Solyc02g093150.2	AP2
Solyc03g044300	Solyc03g044300.2	AP2
Solyc03g117720	Solyc03g117720.2	AP2
Solyc03g123430	Solyc03g123430.2	AP2
Solyc04g009450	Solyc04g009450.1	AP2
Solyc04g077490	Solyc04g077490.2	AP2
Solyc05g051380	Solyc05g051380.2	AP2
Solyc06g066390	Solyc06g066390.1	AP2
Solyc06g068570	Solyc06g068570.2	AP2
Solyc06g075510	Solyc06g075510.2	AP2
Solyc07g018290	Solyc07g018290.2	AP2
Solyc08g076380	Solyc08g076380.1	AP2
Solyc08g081650	Solyc08g081650.1	AP2
Solyc08g081670	Solyc08g081670.1	AP2
Solyc10g084340	Solyc10g084340.1	AP2
Solyc11g008560	Solyc11g008560.1	AP2
Solyc11g010710	Solyc11g010710.1	AP2
Solyc11g061750	Solyc11g061750.1	AP2
Solyc12g010490	Solyc12g010490.1	AP2
Solyc09g007260	Solyc09g007260.2	AP2
Solyc11g072600	Solyc11g072600.1	AP2
Solyc02g030210	Solyc02g030210.2	AP2
Solyc04g049800	Solyc04g049800.2	AP2
Solyc01g005630	Solyc01g005630.1	ERF
Solyc01g008880	Solyc01g008880.1	ERF
Solyc01g009440	Solyc01g009440.1	ERF
Solyc01g014720	Solyc01g014720.1	ERF
Solyc01g057080	Solyc01g057080.1	ERF
Solyc01g065980	Solyc01g065980.2	ERF
Solyc01g067540	Solyc01g067540.1	ERF
Solyc01g090300	Solyc01g090300.2	ERF
Solyc01g090310	Solyc01g090310.2	ERF
Solyc01g090320	Solyc01g090320.2	ERF
Solyc01g090340	Solyc01g090340.2	ERF
Solyc01g090370	Solyc01g090370.1	ERF
Solyc01g090560	Solyc01g090560.2	ERF
Solyc01g091760	Solyc01g091760.2	ERF
Solyc01g095500	Solyc01g095500.2	ERF
Solyc01g108240	Solyc01g108240.2	ERF
Solyc02g067020	Solyc02g067020.1	ERF
Solyc02g077360	Solyc02g077360.1	ERF
Solyc02g077370	Solyc02g077370.1	ERF
Solyc02g077810	Solyc02g077810.1	ERF
Solyc02g077840	Solyc02g077840.1	ERF
Solyc02g090770	Solyc02g090770.1	ERF
Solyc02g090790	Solyc02g090790.1	ERF
Solyc02g090800	Solyc02g090800.1	ERF
Solyc02g093130	Solyc02g093130.1	ERF
Solyc03g005500	Solyc03g005500.1	ERF
Solyc03g005510	Solyc03g005510.1	ERF
Solyc03g005520	Solyc03g005520.1	ERF
Solyc03g006320	Solyc03g006320.1	ERF
Solyc03g007460	Solyc03g007460.1	ERF
Solyc03g026270	Solyc03g026270.1	ERF
Solyc03g026280	Solyc03g026280.2	ERF
Solyc03g093530	Solyc03g093530.1	ERF
Solyc03g093540	Solyc03g093540.1	ERF
Solyc03g093550	Solyc03g093550.1	ERF
Solyc03g093560	Solyc03g093560.1	ERF
Solyc03g093610	Solyc03g093610.1	ERF
Solyc03g114440	Solyc03g114440.1	ERF
Solyc03g116610	Solyc03g116610.2	ERF
Solyc03g117130	Solyc03g117130.2	ERF
Solyc03g117230	Solyc03g117230.1	ERF
Solyc03g118190	Solyc03g118190.2	ERF
Solyc03g119580	Solyc03g119580.1	ERF
Solyc03g119800	Solyc03g119800.1	ERF
Solyc03g120840	Solyc03g120840.1	ERF
Solyc03g123500	Solyc03g123500.2	ERF
Solyc03g124110	Solyc03g124110.1	ERF
Solyc04g007180	Solyc04g007180.1	ERF
Solyc04g012050	Solyc04g012050.2	ERF
Solyc04g014530	Solyc04g014530.1	ERF
Solyc04g050750	Solyc04g050750.1	ERF
Solyc04g051360	Solyc04g051360.2	ERF
Solyc04g054910	Solyc04g054910.2	ERF
Solyc04g071770	Solyc04g071770.2	ERF
Solyc04g072300	Solyc04g072300.1	ERF
Solyc04g072900	Solyc04g072900.1	ERF
Solyc04g078640	Solyc04g078640.1	ERF
Solyc04g080910	Solyc04g080910.1	ERF
Solyc05g009250	Solyc05g009250.1	ERF
Solyc05g009450	Solyc05g009450.1	ERF
Solyc05g013540	Solyc05g013540.1	ERF
Solyc05g050790	Solyc05g050790.1	ERF
Solyc05g050830	Solyc05g050830.1	ERF
Solyc05g051180	Solyc05g051180.1	ERF
Solyc05g051200	Solyc05g051200.1	ERF
Solyc05g052030	Solyc05g052030.1	ERF
Solyc05g052040	Solyc05g052040.1	ERF
Solyc05g052050	Solyc05g052050.1	ERF
Solyc05g052410	Solyc05g052410.1	ERF
Solyc06g035700	Solyc06g035700.1	ERF
Solyc06g050520	Solyc06g050520.1	ERF
Solyc06g051840	Solyc06g051840.1	ERF
Solyc06g053240	Solyc06g053240.2	ERF
Solyc06g054630	Solyc06g054630.1	ERF
Solyc06g063070	Solyc06g063070.2	ERF
Solyc06g065820	Solyc06g065820.2	ERF
Solyc06g066540	Solyc06g066540.1	ERF
Solyc06g068360	Solyc06g068360.2	ERF
Solyc06g068830	Solyc06g068830.1	ERF
Solyc06g082590	Solyc06g082590.1	ERF
Solyc07g042230	Solyc07g042230.1	ERF
Solyc07g049490	Solyc07g049490.1	ERF
Solyc07g053740	Solyc07g053740.1	ERF
Solyc07g054220	Solyc07g054220.1	ERF
Solyc07g064890	Solyc07g064890.1	ERF
Solyc08g007230	Solyc08g007230.1	ERF
Solyc08g007820	Solyc08g007820.1	ERF
Solyc08g007830	Solyc08g007830.1	ERF
Solyc08g066660	Solyc08g066660.1	ERF
Solyc08g078170	Solyc08g078170.1	ERF
Solyc08g078180	Solyc08g078180.1	ERF
Solyc08g078190	Solyc08g078190.1	ERF
Solyc08g078410	Solyc08g078410.1	ERF
Solyc08g078420	Solyc08g078420.1	ERF
Solyc08g080290	Solyc08g080290.2	ERF
Solyc08g081960	Solyc08g081960.1	ERF
Solyc08g082210	Solyc08g082210.2	ERF
Solyc09g009240	Solyc09g009240.1	ERF
Solyc09g059510	Solyc09g059510.2	ERF
Solyc09g066340	Solyc09g066340.1	ERF
Solyc09g066350	Solyc09g066350.1	ERF
Solyc09g066360	Solyc09g066360.1	ERF
Solyc09g075420	Solyc09g075420.2	ERF
Solyc09g089910	Solyc09g089910.1	ERF
Solyc09g089920	Solyc09g089920.1	ERF
Solyc09g089930	Solyc09g089930.1	ERF
Solyc09g091950	Solyc09g091950.1	ERF
Solyc10g006130	Solyc10g006130.1	ERF
Solyc10g009110	Solyc10g009110.1	ERF
Solyc10g050970	Solyc10g050970.1	ERF
Solyc10g076370	Solyc10g076370.1	ERF
Solyc10g076380	Solyc10g076380.1	ERF
Solyc10g078610	Solyc10g078610.1	ERF
Solyc10g080310	Solyc10g080310.1	ERF
Solyc10g080650	Solyc10g080650.1	ERF
Solyc10g083560	Solyc10g083560.1	ERF
Solyc11g006050	Solyc11g006050.1	ERF
Solyc11g011740	Solyc11g011740.1	ERF
